"BTC","2015-08-14T09:02:24.817"
"LTC","2017-06-25T03:06:46.83"
"DOGE","INVALID_MARKET"
"VTC","INVALID_MARKET"
"PPC","INVALID_MARKET"
"FTC","INVALID_MARKET"
"RDD","INVALID_MARKET"
"NXT","INVALID_MARKET"
"DASH","2017-07-14T17:10:05.143"
"POT","INVALID_MARKET"
"BLK","INVALID_MARKET"
"EMC2","INVALID_MARKET"
"XMY","INVALID_MARKET"
"AUR","INVALID_MARKET"
"UTC","INVALID_MARKET"
"MZC","INVALID_MARKET"
"EFL","INVALID_MARKET"
"GLD","INVALID_MARKET"
"FAIR","INVALID_MARKET"
"SLR","INVALID_MARKET"
"PTC","INVALID_MARKET"
"GRS","INVALID_MARKET"
"NLG","INVALID_MARKET"
"RBY","INVALID_MARKET"
"XWC","INVALID_MARKET"
"MONA","INVALID_MARKET"
"BITS","INVALID_MARKET"
"OC","INVALID_MARKET"
"THC","INVALID_MARKET"
"ENRG","INVALID_MARKET"
"SFR","INVALID_MARKET"
"ERC","INVALID_MARKET"
"NAUT","INVALID_MARKET"
"VRC","INVALID_MARKET"
"CURE","INVALID_MARKET"
"BLC","INVALID_MARKET"
"XC","INVALID_MARKET"
"XDQ","INVALID_MARKET"
"XBB","INVALID_MARKET"
"HYPER","INVALID_MARKET"
"CCN","INVALID_MARKET"
"XMR","2017-07-21T01:08:49.367"
"CLOAK","INVALID_MARKET"
"BSD","INVALID_MARKET"
"CRYPT","INVALID_MARKET"
"START","INVALID_MARKET"
"KORE","INVALID_MARKET"
"XDN","INVALID_MARKET"
"TRK","INVALID_MARKET"
"TRUST","INVALID_MARKET"
"NAV","INVALID_MARKET"
"XST","INVALID_MARKET"
"APEX","INVALID_MARKET"
"BTCD","INVALID_MARKET"
"VIA","INVALID_MARKET"
"TRI","INVALID_MARKET"
"UNO","INVALID_MARKET"
"PINK","INVALID_MARKET"
"IOC","INVALID_MARKET"
"MAX","INVALID_MARKET"
"LXC","INVALID_MARKET"
"BOB","INVALID_MARKET"
"CANN","INVALID_MARKET"
"FC2","INVALID_MARKET"
"SSD","INVALID_MARKET"
"J","INVALID_MARKET"
"SYS","INVALID_MARKET"
"NEOS","INVALID_MARKET"
"DGB","2017-08-04T18:01:27.777"
"ROOT","INVALID_MARKET"
"BTS","INVALID_MARKET"
"BURST","INVALID_MARKET"
"TIT","INVALID_MARKET"
"BSTY","INVALID_MARKET"
"PXI","INVALID_MARKET"
"DGC","INVALID_MARKET"
"SLG","INVALID_MARKET"
"STV","INVALID_MARKET"
"EXCL","INVALID_MARKET"
"SWIFT","INVALID_MARKET"
"NET","INVALID_MARKET"
"GHC","INVALID_MARKET"
"DOPE","INVALID_MARKET"
"BLOCK","INVALID_MARKET"
"ABY","INVALID_MARKET"
"VIOR","INVALID_MARKET"
"BYC","INVALID_MARKET"
"UFO","INVALID_MARKET"
"XMG","INVALID_MARKET"
"XQN","INVALID_MARKET"
"BLITZ","INVALID_MARKET"
"VPN","INVALID_MARKET"
"BAY","INVALID_MARKET"
"DTC","INVALID_MARKET"
"AM","INVALID_MARKET"
"METAL","INVALID_MARKET"
"SPR","INVALID_MARKET"
"VTR","INVALID_MARKET"
"XPY","INVALID_MARKET"
"XRP","2017-06-25T03:07:09.677"
"GAME","INVALID_MARKET"
"GP","INVALID_MARKET"
"NXS","INVALID_MARKET"
"COVAL","INVALID_MARKET"
"FSC2","INVALID_MARKET"
"SOON","INVALID_MARKET"
"HZ","INVALID_MARKET"
